Timestamp,FPS,Inference_Latency_ms,Gesture_Detected
21:12:58,48.75,20.64,NEUTRAL
21:12:58,47.28,13.45,NEUTRAL
21:12:58,46.97,14.0,NEUTRAL
21:12:58,47.15,13.26,NEUTRAL
21:12:58,47.76,12.9,NEUTRAL
21:12:58,46.97,16.8,NEUTRAL
21:12:58,46.52,14.5,NEUTRAL
21:12:58,47.2,13.36,NEUTRAL
21:12:58,47.28,13.53,NEUTRAL
21:12:58,48.71,14.04,NEUTRAL
21:12:58,50.25,13.86,NEUTRAL
21:12:58,51.45,13.58,NEUTRAL
21:12:58,51.62,14.75,NEUTRAL
21:12:58,51.53,13.75,NEUTRAL
21:12:58,51.13,14.81,NEUTRAL
21:12:58,52.11,12.94,NEUTRAL
21:12:58,52.13,14.25,NEUTRAL
21:12:58,51.76,13.64,NEUTRAL
21:12:58,49.87,22.81,NEUTRAL
21:12:58,49.67,13.34,NEUTRAL
21:12:58,49.49,15.24,NEUTRAL
21:12:58,49.88,13.82,NEUTRAL
21:12:58,50.12,13.81,NEUTRAL
21:12:58,49.95,14.39,NEUTRAL
21:12:58,49.41,16.91,NEUTRAL
21:12:58,49.15,13.74,NEUTRAL
21:12:58,49.5,13.43,NEUTRAL
21:12:59,49.05,15.9,NEUTRAL
21:12:59,50.7,13.66,NEUTRAL
21:12:59,50.99,13.89,NEUTRAL
21:12:59,51.46,12.81,NEUTRAL
21:12:59,51.68,12.95,NEUTRAL
21:12:59,50.3,15.05,NEUTRAL
21:12:59,50.3,14.45,NEUTRAL
21:12:59,51.08,13.8,NEUTRAL
21:12:59,51.33,13.07,NEUTRAL
21:12:59,49.49,13.86,NEUTRAL
21:12:59,50.05,13.98,NEUTRAL
21:12:59,50.07,13.92,NEUTRAL
21:12:59,50.41,13.39,NEUTRAL
21:12:59,50.03,13.52,NEUTRAL
21:12:59,49.03,16.76,NEUTRAL
21:12:59,50.24,14.56,NEUTRAL
21:12:59,50.0,14.81,NEUTRAL
21:12:59,49.74,14.68,NEUTRAL
21:12:59,49.57,14.03,NEUTRAL
21:12:59,51.27,14.03,NEUTRAL
21:12:59,51.47,13.2,NEUTRAL
21:12:59,51.17,14.76,NEUTRAL
21:12:59,50.3,13.53,NEUTRAL
21:12:59,50.31,14.73,NEUTRAL
21:12:59,51.3,13.37,NEUTRAL
21:12:59,50.76,16.77,NEUTRAL
21:12:59,50.63,15.99,NEUTRAL
21:12:59,50.28,16.06,NEUTRAL
21:12:59,50.41,13.24,NEUTRAL
21:12:59,50.61,13.83,NEUTRAL
21:12:59,50.27,14.51,NEUTRAL
21:12:59,50.35,14.47,NEUTRAL
21:12:59,51.01,13.95,NEUTRAL
21:12:59,51.27,13.6,NEUTRAL
21:12:59,51.14,13.67,NEUTRAL
21:12:59,51.6,15.01,NEUTRAL
21:12:59,51.68,15.14,NEUTRAL
21:12:59,52.12,13.45,NEUTRAL
21:12:59,51.62,13.86,NEUTRAL
21:12:59,51.23,14.55,NEUTRAL
21:12:59,51.34,13.8,NEUTRAL
21:12:59,51.7,13.72,NEUTRAL
21:12:59,51.85,13.39,NEUTRAL
21:12:59,51.97,13.41,NEUTRAL
21:12:59,51.77,13.96,NEUTRAL
21:12:59,52.1,13.64,NEUTRAL
21:12:59,52.65,13.42,NEUTRAL
21:12:59,51.16,22.23,NEUTRAL
21:12:59,51.5,13.85,NEUTRAL
21:12:59,51.73,13.69,NEUTRAL
21:12:59,51.62,13.54,NEUTRAL
21:13:00,51.1,13.87,NEUTRAL
21:13:00,51.27,13.25,NEUTRAL
21:13:00,50.69,13.49,NEUTRAL
21:13:00,50.92,13.43,NEUTRAL
21:13:00,50.82,14.02,NEUTRAL
21:13:00,50.19,13.55,NEUTRAL
21:13:00,51.37,14.22,NEUTRAL
21:13:00,51.43,13.66,NEUTRAL
21:13:00,51.8,12.85,NEUTRAL
21:13:00,51.9,13.56,NEUTRAL
21:13:00,51.8,14.47,NEUTRAL
21:13:00,51.09,15.49,NEUTRAL
21:13:00,51.55,13.25,NEUTRAL
21:13:00,51.22,13.24,NEUTRAL
21:13:00,51.16,13.9,NEUTRAL
21:13:00,51.97,12.84,NEUTRAL
21:13:00,52.72,13.04,NEUTRAL
21:13:00,52.27,13.9,NEUTRAL
21:13:00,52.1,13.47,NEUTRAL
21:13:00,50.17,24.44,NEUTRAL
21:13:00,50.94,13.35,NEUTRAL
21:13:00,51.36,14.01,NEUTRAL
21:13:00,51.54,13.39,NEUTRAL
21:13:00,50.07,21.82,NEUTRAL
21:13:00,50.07,13.98,NEUTRAL
21:13:00,49.84,13.5,NEUTRAL
21:13:00,49.95,12.92,NEUTRAL
21:13:00,48.5,22.52,NEUTRAL
21:13:00,48.29,14.25,NEUTRAL
21:13:00,50.28,13.79,NEUTRAL
21:13:00,50.19,13.1,NEUTRAL
21:13:00,49.85,15.13,NEUTRAL
21:13:00,49.59,12.59,NEUTRAL
21:13:00,49.79,18.44,NEUTRAL
21:13:00,49.95,13.18,NEUTRAL
21:13:00,49.21,13.92,NEUTRAL
21:13:00,48.56,14.75,NEUTRAL
21:13:00,50.06,15.26,NEUTRAL
21:13:00,50.42,13.36,NEUTRAL
21:13:00,49.08,20.37,NEUTRAL
21:13:00,48.71,13.69,NEUTRAL
21:13:00,49.0,13.15,NEUTRAL
